YEAR,avg_lod,std_lod
2005.1239,0.2940263013698632,2.2153347356233892
2005.3737,0.06493461187214633,2.292567480244526
2005.6239,0.09108840182648414,2.195476210079407
2005.8741,0.029171506849314355,2.2033995635212573
2006.1242,0.17365698630137016,2.3448630659037493
2006.3744,0.5410783561643835,2.2247530127775335
2006.6246,0.6044273972602738,1.826702821491954
2006.8747,0.6036887671232885,1.826213075198151
2007.1249,0.1502904109589034,2.013603009800548
2007.3751,-0.06233315068493095,2.1876683421829353
2007.6253,-0.2935375342465756,2.3744885181520816
2007.8754,-0.19034082191780843,2.3421423553155343
2008.1256,-0.15467506849315082,2.156206090691856
2008.3754,0.06636015869451306,1.9407303105586464
2008.6249,0.19368087431694025,1.7481444539691535
2008.8744,-0.07472486862789163,1.7239574093816608
2009.1239,0.03274191780821889,1.7765698000538412
2009.3737,-0.0677044808743168,1.9165756183756502
2009.6239,-0.1743689437832172,2.0246659205922226
2009.8741,-0.0712471232876708,1.9181031599926859
2010.1242,0.019888219178081812,1.8024751467479339
2010.3744,-0.3632536986301367,2.158759044016803
2010.6246,-0.17951890410958926,2.5991439155586087
2010.8747,-0.33323726027397305,2.6302907413927663
2011.1249,-0.17490739726027327,2.4306961901092805
2011.3751,0.1527189041095891,2.1787626563752402
2011.6253,0.15479123287671204,1.9789784973262652
2011.8754,0.3044668493150686,2.019001962142964
2012.1256,-0.041798356164383765,2.1161161480632233
2012.3754,-0.017401281533048873,2.0852903096213917
2012.6249,-0.03410601092896126,2.002895547255662
2012.8744,0.07878071711954426,2.0316054285463614
2013.1239,0.3493402739726035,2.240754915111482
2013.3737,0.07653365371659504,2.3162195405294437
2013.6239,0.08964168874915845,2.2266536360042553
2013.8741,-0.06618410958904164,2.1552607682997365
2014.1242,-0.13915178082191781,2.02466937938146
2014.3744,0.06105424657534275,1.8709916647986966
2014.6246,-0.06988493150684949,1.8345040677423692
2014.8747,0.03200219178082131,1.8567101593912694
2015.1249,0.024918356164384203,1.881697898221606
2015.3751,0.21667506849315066,1.7710798564286585
2015.6253,0.5025830136986298,1.542723085364094
2015.8754,0.5061939726027402,1.7762043722935572
2016.1256,0.40142136986301313,2.1318825016800154
2016.3754,-0.0031772827307436913,2.3584923462254532
2016.6249,-0.20438032786885163,2.586096870051626
2016.8744,-0.35923471816752794,2.538844683266659
2017.1239,-0.308413150684931,2.2395333159462436
2017.3737,-0.14289639344262284,2.0792894332836447
2017.6239,-0.3636636065573775,2.2021155958974297
2017.8741,-0.3196032876712329,2.2508758377964733
2018.1242,-0.4594312328767125,1.9702886015529817
2018.3744,-0.36362082191780765,1.9020663027690332
2018.6246,-0.12075835616438368,2.080943747298794
2018.8747,-0.03196273972602759,2.0379180530285192
2019.1249,-0.00020931506849297676,1.9656399865022345
2019.3751,-0.24736438356164347,2.215543264443736
2019.6253,-0.5434312328767128,2.641732868227009
2019.8754,-0.47128219178082187,2.6286020404780137
2020.1256,-0.3083287671232877,2.222628263426953
2020.3754,-0.47792329964817726,2.389162898004397
2020.6249,-0.2551453551912568,2.8711745820383605
2020.8744,-0.38357134516056585,2.898102005973317
2021.1239,-0.4049731506849316,2.5396411747753223
2021.3737,0.05836853956134436,2.1646009675927065
2021.6239,0.015658857698929607,1.9885203025683202
2021.8741,0.08857972602739733,1.9854024594411936
2022.1242,-0.17184547945205492,1.980833021487552
2022.3744,-0.17015671232876706,2.013415635124841
2022.6246,0.19796931506849302,2.1745968580758586
2022.8747,0.02845808219178081,2.258682692407298
2023.1249,0.4469052054794522,2.453107365338637
2023.3751,0.41317260273972595,2.383470607285533
2023.6253,-0.06054027397260267,2.020513075805978
2023.8754,0.19031671232876704,1.9719203151046407
2024.1256,-0.0988350684931506,1.9563553446257873
2024.3754,-0.24593542630436413,2.098027830124056
2024.6249,0.06593551912568316,2.2956151846134474
2024.8744,-0.03782475035556554,2.297778968314088
2025.1239,-0.02582904109589052,2.276550079905608
2025.3737,0.16076089527659262,2.095564417882625
2025.6239,-0.06451322404371596,1.9237132459651263
2025.8741,-0.40795658119658107,1.9064044500907271
2026.1242,-0.7959780666907428,1.7218531028509463
2026.3744,-0.2349077050538524,1.3664951899626627
2026.6246,,
2026.8747,,
2027.1249,,
2027.3751,,
2027.6253,,
2027.8754,,
2028.1256,,
2028.3754,,
2028.6249,,
2028.8744,,
2029.1239,,
2029.3737,,
2029.6239,,
2029.8741,,
2030.1242,,
2030.3744,,
2030.6246,,
2030.8747,,
2031.1249,,
